id_empresa,nome,cep,estado,bairro,rua,numero,complemento,tipo,ativo
32,Abreu,33814-330,DF,de Goiás,Viaduto Allana da Mata,8835,,compra,true
37,da Paz,67739-912,RJ,Paulista,Praia Maria Flor Ramos,7745,,compra,true
,Ponto de coleta Cavalcante,51738-324,SE,de Goiás,Quadra de Alves,6670,,descarte,true
7,Cavalcante,56088-448,RO,Grande,Vila Macedo,7063,,descarte,true
30,Nunes,72562-406,SC,do Amparo,Colônia Caroline Carvalho,888,,compra,true
22,Costa Viana S.A.,66319691,SE,Paulista,Alameda Fernandes,1791,,compra,true
35,Peixoto e Filhos,98837-658,PB,do Norte,Colônia Sampaio,2297,,descarte,true
30,Duarte,92935-410,ES,do Galho,Vereda de Mendonça,1236,,descarte,true
,Ponto de coleta Lopes de Câmara,84219-479,PI,do Galho,Passarela Cirino,1605,,descarte,true
35,Viana - ME,12632-974,TO,Alegre,Residencial Marques,242,,compra,true
16,Novaes - ME,08691647,CE,Alegre,Recanto Machado,6659,,atacado,true
26,Andrade,37364597,AL,Verde,Trevo Marcelo Araújo,2698,,descarte,true
25,Barbosa,93883-867,GO,do Sul,Viaduto Cavalcanti,7455,,descarte,true
36,Cassiano Barbosa Ltda.,14287062,RO,dos Dourados,Parque Heloísa Vargas,7974,,compra,true
14,Guerra - EI,71512086,AL,de Goiás,Pátio Maria Eduarda Montenegro,9490,,compra,true
4,Barbosa,51960-472,AL,das Pedras,Recanto Cavalcanti,9572,,descarte,true
34,Nascimento - ME,49345-010,CE,das Flores,Rodovia de Cunha,932,,compra,true
1000060,Gomes Ltda.,44883-768,AP,do Sul,Estrada da Luz,9750,,compra,true
16,da Cunha S.A.,06159755,MG,da Mata,Trecho da Cunha,1965,,compra,true
3,Monteiro S.A.,69050-441,RN,de Minas,Residencial Aylla Macedo,1344,,descarte,true
37,Farias Ribeiro e Filhos,28242917,PE,da Mata,Conjunto de Mendonça,5184,,descarte,true
21,Santos,03123859,ES,do Oeste,Aeroporto Pacheco,4352,,descarte,true
20,Ramos,42392-817,PB,de Goiás,Praia Cirino,5181,,compra,true
37,da Conceição da Cruz e Filhos,76405-090,AM,do Galho,Aeroporto Théo Farias,1201,,compra,true
9,Macedo Pastor - ME,74377879,MS,do Norte,Rodovia Silveira,1128,,compra,true
11,Cardoso Pinto S/A,80912559,PB,da Praia,Vereda de Borges,8901,,descarte,true
34,Carvalho Jesus e Filhos,94809287,AC,do Amparo,Rua de da Costa,9087,,descarte,true
7,Fogaça Siqueira - EI,57774-062,BA,dos Dourados,Sítio Mendes,4334,,varejo,true
1000071,Silva,04254-525,SC,das Flores,Fazenda Monteiro,9065,,compra,true
39,Cavalcante S/A,58749-624,DF,de Goiás,Praia de Gomes,5618,,compra,true
17,Montenegro Almeida Ltda.,90830-300,PE,Paulista,Estrada de Ribeiro,8005,,descarte,true
4,Nogueira,47426-062,AP,das Flores,Jardim Fernandes,6940,,atacado,true
22,Peixoto Ltda.,40997-812,SP,do Campo,Travessa Alana Pires,2144,,descarte,true
29,Cavalcante Pires S.A.,80711842,PI,da Mata,Rua Benicio Machado,7008,,compra,true
10,Andrade,00452-786,PI,do Oeste,Rodovia Santos,591,,descarte,true
10,Porto e Filhos,04320503,PA,das Flores,Trevo de Viana,2089,,compra,true
3,Campos,78582907,MS,do Amparo,Trevo da Paz,3442,,compra,true
23,da Costa S/A,59597-599,SP,Paulista,Trevo de Mendonça,9174,,descarte,true
10,,39268-450,ES,dos Dourados,Feira Machado,2663,,compra,true
1000082,Aparecida e Filhos,79939974,AC,de Goiás,Vale Gael Henrique Albuquerque,2939,,descarte,true
,Ponto de coleta Moraes do Amparo,10764-230,PA,da Serra,Passarela de Novaes,4066,,descarte,true
7,da Cunha,92867769,MG,das Pedras,Pátio Rafaela Macedo,635,,descarte,true
30,Oliveira Andrade S.A.,22605940,MS,do Sul,Campo de Camargo,5001,,compra,true
13,Barros,08096-527,MG,de Minas,Distrito de Nunes,5379,,descarte,true
1000087,Nogueira Cassiano - ME,25415-891,SP,da Prata,Lago de Garcia,4574,,descarte,true
26,Rios,08073-202,RO,do Sul,Avenida de Pastor,8786,,descarte,true
8,Souza,28809168,GO,do Oeste,Feira de Fogaça,2926,,,true
17,,22173-554,AL,do Norte,Pátio Câmara,1777,,descarte,true
21,Rocha - EI,56614-308,PA,do Norte,Esplanada Augusto Ribeiro,9933,,compra,true
37,Pacheco - EI,42461-666,DF,de Minas,Vila de Cassiano,4174,,compra,true
1,Pereira,04985883,PE,dos Dourados,Condomínio Moura,8822,,compra,true
5,da Rocha - EI,00491-741,RO,da Mata,Viaduto de Lima,5410,,descarte,true
8,Melo e Filhos,32376491,SC,do Oeste,Esplanada de Mendes,4921,,descarte,true
21,Machado Ltda.,06669197,MG,da Praia,Loteamento Sales,4845,,compra,true
25,Pacheco,35465-910,RO,do Sul,Avenida de Cardoso,2852,,descarte,true
1,Aparecida,65040274,MA,Alegre,Aeroporto de Moura,4701,,compra,true
38,Araújo,21861-266,RN,das Pedras,Fazenda da Rosa,5280,,descarte,true
14,Vargas Siqueira - EI,59058-124,PE,da Prata,Favela Vieira,7753,,compra,true
19,das Neves da Rosa - EI,66804885,PE,do Galho,Viaduto da Luz,5492,,compra,true
,Ponto de coleta Sá das Pedras,45314-286,SP,do Sul,Viela Sá,3849,,descarte,true
15,Montenegro Pacheco - ME,41542-115,SE,dos Dourados,Lago Macedo,3263,,compra,true
16,Castro - ME,57127159,PR,do Sul,Núcleo Cecília da Mota,1194,,descarte,true
37,Garcia,17310-353,DF,da Mata,Estação de Alves,6292,,descarte,true
10,Silva,47455-199,RS,da Serra,Estrada Vargas,91,,compra,true
,Ponto de coleta Moreira,89698118,ES,do Norte,Viela Campos,2882,,descarte,true
,Ponto de coleta Campos de Mendonça,85526-223,RR,Alegre,Pátio de Peixoto,8487,,descarte,true
36,da Mota Sampaio S.A.,61098-119,ES,Alegre,Quadra da Cruz,1989,,descarte,true
30,Aparecida Freitas S/A,40755123,RO,da Mata,Colônia de da Rosa,8703,,descarte,true
29,,61944-412,RN,das Pedras,Praia de Sampaio,8271,,descarte,true
,Ponto de coleta Leão,34747434,PI,da Mata,Trevo Maria Cecília Guerra,7306,,descarte,true
1000113,Rios - ME,55389108,SC,Verde,Travessa de Oliveira,7778,,descarte,true
16,Caldeira - EI,90329002,TO,de Minas,Travessa de da Rocha,4544,,descarte,true
18,Pereira,52584-873,PB,da Serra,Rodovia de Casa Grande,1270,,descarte,true
22,Mendes,53027-090,MT,Grande,Praça Ribeiro,8850,,compra,true
15,Viana,03954-569,MG,dos Dourados,Avenida Costa,2504,,compra,true
27,Silva - ME,52026-410,MT,do Sul,Esplanada Arthur Miguel da Cruz,8891,,descarte,true
14,Lima Siqueira Ltda.,46119-627,TO,dos Dourados,Vereda Albuquerque,6884,,descarte,true
38,Montenegro,75527475,RR,do Oeste,Avenida Rios,321,,,true
1,Rodrigues,48342902,MS,do Amparo,Trecho Liam Marques,4893,,descarte,true
1000122,Siqueira - ME,36535992,TO,do Norte,Área Correia,6866,,compra,true
18,Caldeira,32290197,PA,das Pedras,Rua de Borges,7957,,compra,true
26,Jesus Sales S/A,07772640,SC,do Oeste,Distrito Maria Luiza da Rocha,2705,,descarte,true
35,Andrade - ME,29216-112,AC,do Norte,Condomínio de Costa,6456,,,true
2,Nogueira da Cruz - EI,96520-318,AP,da Prata,Vila Pires,7023,,compra,true
1000127,Machado S.A.,45464674,CE,Verde,Estação Ana Clara Fonseca,824,,descarte,true
14,Borges - EI,18141-135,PB,dos Dourados,Condomínio Francisco Lima,5356,,descarte,true
,Ponto de coleta Correia,95962-824,MG,dos Dourados,Fazenda Luara da Conceição,4559,,descarte,true
,Ponto de coleta Nascimento Grande,00660801,TO,das Pedras,Estrada Caleb Costela,6907,,descarte,true
6,Leão,20820-609,PR,do Norte,Recanto de Rocha,318,,compra,true
23,,12547681,ES,de Goiás,Trevo das Neves,1125,,compra,true
,Ponto de coleta Vasconcelos,05306300,ES,da Prata,Fazenda Ferreira,3267,,descarte,true
,Ponto de coleta Vasconcelos,24122112,RN,Alegre,Morro Caldeira,2497,,descarte,true
31,da Rocha,35434-163,RO,dos Dourados,Morro Emilly Sousa,1875,,compra,true
17,Fogaça,63937232,SP,de Goiás,Avenida Lara Albuquerque,6044,,compra,true
8,Ribeiro e Filhos,15134576,SP,Grande,Esplanada Bianca Leão,2684,,descarte,true
2,da Rosa Souza e Filhos,69311420,MA,da Praia,Rua de Rios,9434,,descarte,true
13,Cavalcante Teixeira Ltda.,58890-537,AP,Alegre,Favela Macedo,9701,,compra,true
20,Ferreira,25720-480,RO,do Sul,Chácara Moreira,9838,,compra,true
,Ponto de coleta Melo de Borges,26891210,RJ,dos Dourados,Esplanada Sá,673,,descarte,true
28,Moura,39591455,RO,das Pedras,Colônia de Barbosa,6072,,compra,true
22,Monteiro Ltda.,01020-405,AC,do Amparo,Estação Pastor,6883,,descarte,true
24,Macedo,27734405,RS,de Goiás,Viela Maria Alice Albuquerque,7533,,compra,true
34,Gomes,79921-412,RS,do Galho,Vereda Abreu,4426,,descarte,true
38,Garcia,51100-427,GO,do Oeste,Trevo Ana Carolina Camargo,5281,,compra,true
,Ponto de coleta da Cruz de Vargas,37672521,AP,Alegre,Vale Guerra,4570,,descarte,true
1000148,Cassiano,91428172,ES,do Oeste,Loteamento Martins,7614,,descarte,true
32,Albuquerque Albuquerque S.A.,49102-679,MT,dos Dourados,Via da Paz,2980,,descarte,true
17,Câmara,83549656,MT,das Flores,Distrito Souza,4582,,descarte,true
34,Rios da Cruz - ME,31051-722,DF,do Norte,Parque de Cardoso,1403,,compra,true
32,Sampaio Ltda.,80927-639,PI,do Norte,Vale Levi Machado,3938,,descarte,true
32,da Mota S.A.,65323177,PB,Verde,Alameda Hellena Carvalho,283,,compra,true
26,Ferreira,80240-510,RR,dos Dourados,Área de Lima,3987,,descarte,true
24,Aparecida,68852-021,PR,do Oeste,Largo de Câmara,9069,,descarte,true
36,Souza,92430-132,MT,Verde,Rodovia Henry Almeida,5765,,descarte,true
17,Peixoto,33436-903,ES,dos Dourados,Favela André Machado,1977,,compra,true
35,Porto,91803-272,SP,das Pedras,Jardim de Ferreira,3034,,compra,true
31,Carvalho,35808121,GO,do Amparo,Passarela Martins,9660,,descarte,true
13,,66525237,MA,de Minas,Largo de da Rocha,3728,,descarte,true
1,da Cunha S.A.,45861-107,RR,de Minas,Alameda Ramos,8752,,compra,true
4,Rodrigues S.A.,79949486,PI,das Pedras,Rua de Oliveira,4787,,compra,true
32,das Neves,59933-628,AM,dos Dourados,Feira de da Cunha,201,,descarte,true
29,Casa Grande Sampaio e Filhos,86975-941,MT,da Praia,Estação Aragão,3021,,compra,true
31,Câmara - EI,13694-188,AM,do Norte,Quadra da Mata,1071,,descarte,true
37,Cirino,45777-256,RS,do Sul,Setor de Rocha,879,,compra,true
37,Monteiro,31940737,MA,Verde,Quadra Barros,1396,,compra,true
27,Sousa,58558-153,RN,do Oeste,Avenida de Rodrigues,9767,,compra,true
,Ponto de coleta Pimenta de Silveira,61528905,MG,Grande,Vereda de Andrade,7382,,descarte,true
20,Vargas,25832-560,RJ,do Amparo,Loteamento Sara Pires,7026,,atacado,true
4,Pires Sales S/A,25340-222,RN,das Flores,Campo Moura,1626,,compra,true
17,Lima S.A.,93938-628,RO,do Amparo,Rua Kevin Camargo,1331,,compra,true
36,Novais Albuquerque - EI,38207-124,AP,de Goiás,Loteamento Moraes,2565,,compra,true
39,das Neves S.A.,26571760,PR,do Amparo,Esplanada Sabrina da Costa,4772,,compra,true
19,Alves S.A.,90750867,RR,Verde,Núcleo Pacheco,7439,,compra,true
17,Costa S.A.,27716-932,SE,do Norte,Feira Pastor,9664,,compra,true
35,Teixeira,70244-104,ES,do Oeste,Esplanada da Cunha,2442,,descarte,true
,Ponto de coleta Moura,61020518,AP,do Amparo,Parque de Rodrigues,978,,descarte,true
20,Monteiro,69243676,RN,de Minas,Colônia de Rezende,9326,,descarte,true
30,Barros Souza - EI,42555-799,RR,do Oeste,Vale de Novais,4983,,descarte,true
33,Silveira,49634-416,PI,das Flores,Jardim Viana,8091,,atacado,true
3,Porto,57049-017,PA,da Mata,Trecho Pimenta,5281,,descarte,true
15,da Mata,43606566,RO,da Praia,Conjunto Sá,9425,,compra,true
18,,81080-760,RJ,de Minas,Condomínio Viana,660,,compra,true
29,Moraes Carvalho S/A,13329-229,GO,Verde,Viela Lívia Novaes,2974,,descarte,true
32,Nunes,07783298,AP,das Pedras,Sítio Luiz Gustavo Correia,7701,,descarte,true
21,Carvalho S/A,43895-019,RO,de Goiás,Trevo de da Rosa,1714,,compra,true
32,Barros Aparecida S.A.,11411419,MA,do Norte,Trevo de Macedo,6562,,compra,true
21,Duarte,20335747,GO,dos Dourados,Colônia de Abreu,5297,,compra,true
26,,31618-937,PE,das Pedras,Viela Samuel Albuquerque,19,,descarte,true
13,Machado,32357184,PE,Grande,Colônia Sabrina Cassiano,5928,,descarte,true
4,da Mota,28535-717,DF,Alegre,Esplanada Casa Grande,4376,,compra,true
29,Sampaio,73120611,RR,do Norte,Trevo de da Rosa,7942,,varejo,true
39,Mendes,20255248,SE,da Prata,Rodovia da Luz,3921,,compra,true
1,Guerra,49907-374,PI,Grande,Sítio Davi Ribeiro,6685,,compra,true
8,Rezende,24553438,PB,da Praia,Trevo Maria Fernanda Santos,1925,,compra,true
19,da Paz,91573872,PE,do Sul,Sítio Manuela Santos,4480,,descarte,true
,Ponto de coleta Carvalho de Fogaça,37225532,PR,de Minas,Travessa Ana Beatriz Farias,3994,,descarte,true
