nome,id_marca,descricao,tipo_produto,cod_barras,foto_url
Detergente Concentrado,marca-x,Magnam alias tempora veritatis excepturi iusto aut consectetur perspiciatis esse odio earum sapiente.,limpeza_geral,2445142876140,https://picsum.photos/seed/68998/400/400.jpg
,,,limpeza_geral,0852117152475,https://picsum.photos/seed/86998/400/400.jpg
Limpador Profissional,,,limpeza_geral,4287722562313,https://picsum.photos/seed/61504/400/400.jpg
Alvejante Tradicional,43,Sint doloremque quae quam at at doloribus molestiae nostrum doloremque minima.,alvejante,9498807240643,https://picsum.photos/seed/62019/400/400.jpg
Alvejante Max,74,Optio nemo in inventore in veritatis.,desinfetante,7725679640434,https://picsum.photos/seed/36828/400/400.jpg
Desinfetante Max,33,Et reiciendis atque vero ipsam repellendus ipsum veritatis earum qui commodi eos amet.,desinfetante,7176932334209,https://picsum.photos/seed/30959/400/400.jpg
Limpa Vidros Ultra,68,,outro,2034739277851,nao_e_uma_url
Limpador Gel,31,Exercitationem unde error tempore neque nulla natus delectus ipsa quos tempora cupiditate debitis.,desincrustante,7286062275881,https://picsum.photos/seed/52265/400/400.jpg
Água Sanitária Spray,61,Minus odit quaerat occaecati blanditiis alias sint ducimus a vel.,desengraxante,9636835680271,https://picsum.photos/seed/58828/400/400.jpg
,41,Commodi quisquam occaecati eum corrupti nulla ad aliquam consequuntur ratione quos culpa commodi maxime.,alvejante,3960109440589,
Desinfetante Tradicional,943904,Occaecati deserunt quam magnam illo quas exercitationem architecto ullam qui voluptates.,outro,7280418812775,https://picsum.photos/seed/68152/400/400.jpg
,89,Illo officiis sequi id facere doloremque.,limpeza_geral,,https://picsum.photos/seed/58451/400/400.jpg
Detergente Concentrado,37,Modi quis facere dicta nisi natus unde quasi incidunt nihil.,alvejante,9147648844229,nao_e_uma_url
,91,Reiciendis corporis accusantium accusamus odio vel atque assumenda odit tempore.,desengraxante,1734241566665,
Alvejante Lavanda,991180,Exercitationem dicta consequuntur voluptatum veritatis vel occaecati consequuntur nam sint sint consectetur alias.,desengraxante,7712475738267,
Desinfetante Tradicional,42,,desincrustante,9619814365215,https://picsum.photos/seed/9097/400/400.jpg
Multiuso Lavanda,26,Cumque sapiente dolore sed tempora ea recusandae eius qui exercitationem.,desengraxante,9496029897485,nao_e_uma_url
Desinfetante Max,14,,limpeza_geral,2726232277215,
Limpa Vidros Cítrico,35,Repudiandae quam nostrum doloremque perferendis doloremque.,outro,5685997229839,https://picsum.photos/seed/9189/400/400.jpg
Amaciante Ultra,1,Accusamus eos accusamus voluptatem eveniet optio blanditiis dicta necessitatibus.,,2156923923754,https://picsum.photos/seed/84814/400/400.jpg
Limpa Vidros Ultra,69,,desincrustante,2168316040320,https://picsum.photos/seed/25036/400/400.jpg
Limpador Frescor,50,Delectus officia enim consequuntur non ipsam molestiae voluptatibus.,,8858601156426,https://picsum.photos/seed/77719/400/400.jpg
Água Sanitária Tradicional,50,Reiciendis corporis veniam quae quae amet ipsum.,,7859250576949,https://picsum.photos/seed/44266/400/400.jpg
Desengraxante Profissional,6,Similique sit nemo velit saepe porro esse placeat possimus.,outro,8239541209449,https://picsum.photos/seed/96399/400/400.jpg
Removedor Concentrado,84,Quibusdam est voluptatibus autem eum beatae blanditiis occaecati quae ea adipisci.,limpeza_geral,,https://picsum.photos/seed/59794/400/400.jpg
Desinfetante Ultra,76,Doloremque velit possimus deleniti eveniet quam quod soluta.,desinfetante,4193181921601,
Limpador Max,42,Corrupti qui excepturi vero facilis alias consequatur dolorem.,outro,,https://picsum.photos/seed/35900/400/400.jpg
Limpa Vidros Profissional,54,Saepe dolor a molestias unde reiciendis distinctio dolore.,alvejante,8011895427904,https://picsum.photos/seed/20678/400/400.jpg
Detergente Gel,63,,alvejante,8433770329484,https://picsum.photos/seed/90749/400/400.jpg
Água Sanitária Lavanda,19,Accusamus earum quia repellendus ullam sapiente ut ut corrupti magnam error quibusdam.,,,https://picsum.photos/seed/11538/400/400.jpg
Detergente Profissional,39,Laudantium dolores consequatur eaque dolor veniam amet.,alvejante,2214495516771,nao_e_uma_url
Amaciante Spray,,Cumque tempore aut delectus minima dolorum laudantium ea expedita asperiores laborum enim provident.,outro,8244722575763,nao_e_uma_url
Detergente Concentrado,21,Quisquam eaque dolores minima perferendis sunt voluptate eveniet vitae iure.,desengraxante,3404371136448,nao_e_uma_url
Água Sanitária Gel,14,Ad numquam iure dolorem cumque aut quasi neque mollitia earum quasi est.,alvejante,2076610194253,https://picsum.photos/seed/42726/400/400.jpg
Desengraxante Ultra,87,Quas nisi impedit doloribus dolor nemo pariatur nobis eius.,aromatizante,1295489073464,nao_e_uma_url
Sabão Líquido Gel,75,Vero sunt nostrum aliquid et sapiente optio animi minus totam.,desinfetante,4562590713488,https://picsum.photos/seed/35350/400/400.jpg
Removedor Concentrado,17,Placeat eaque distinctio recusandae occaecati eos.,desengraxante,2353888042159,
,82,,alvejante,,nao_e_uma_url
Amaciante Tradicional,28,Quibusdam quisquam dolores debitis rem saepe odio.,outro,5087600034296,
Detergente Cítrico,20,,desengraxante,1239870036133,https://picsum.photos/seed/91312/400/400.jpg
Desinfetante Profissional,58,,desengraxante,4179281375490,https://picsum.photos/seed/11893/400/400.jpg
Amaciante Max,86,,desengraxante,0430981454651,https://picsum.photos/seed/48552/400/400.jpg
Limpador Ultra,91,Laboriosam quod alias enim eaque beatae amet placeat blanditiis omnis vero eaque sunt.,alvejante,7454941611888,https://picsum.photos/seed/75397/400/400.jpg
Limpa Vidros Concentrado,88,Quasi amet reprehenderit placeat non reprehenderit illo quia reiciendis ullam eligendi.,concentrado_xl,8911873716511,https://picsum.photos/seed/47917/400/400.jpg
Desinfetante Profissional,83,,desincrustante,6693197772566,
Desengraxante Frescor,90,Consequuntur quaerat nemo libero eum deserunt sed possimus ea.,aromatizante,,https://picsum.photos/seed/65727/400/400.jpg
Água Sanitária Profissional,16,,desincrustante,6251999355655,
Sabão Líquido Gel,59,Sed quasi expedita eaque dolores deleniti sunt mollitia nesciunt molestias id tempore aliquam.,,4716827263165,https://picsum.photos/seed/26773/400/400.jpg
Sabão Líquido Profissional,81,,desengraxante,4880131285028,https://picsum.photos/seed/30452/400/400.jpg
Sabão Líquido Max,67,Modi eaque cumque id est at voluptates est ipsa facere esse.,desincrustante,8044636262151,https://picsum.photos/seed/60032/400/400.jpg
Alvejante Gel,17,,desincrustante,4311499675041,https://picsum.photos/seed/59760/400/400.jpg
Multiuso Profissional,marca-x,Voluptates numquam maiores magnam iste ducimus fugiat.,,9967495268913,https://picsum.photos/seed/31183/400/400.jpg
Amaciante Tradicional,41,Modi ullam inventore harum eos saepe dicta.,aromatizante,5345184584409,https://picsum.photos/seed/21312/400/400.jpg
Sabão Líquido Lavanda,16,,,7994150549423,nao_e_uma_url
Alvejante Lavanda,65,,,1186075355036,https://picsum.photos/seed/95492/400/400.jpg
Desinfetante Lavanda,957947,,alvejante,,https://picsum.photos/seed/46845/400/400.jpg
Desengraxante Max,8,Quas qui officia saepe quae doloremque natus sint odio corporis.,outro,,https://picsum.photos/seed/88023/400/400.jpg
,marca-x,Odit officiis commodi recusandae delectus qui placeat ipsam eveniet eum omnis voluptatum quod.,alvejante,6502431458770,nao_e_uma_url
Sabão Líquido Frescor,19,Quo ullam commodi libero rem ratione.,desincrustante,2849098086859,nao_e_uma_url
Sabão Líquido Lavanda,57,Nulla et occaecati ex necessitatibus ducimus inventore mollitia repellendus laborum provident quidem.,desengraxante,1662503043954,https://picsum.photos/seed/18828/400/400.jpg
,61,Pariatur fuga blanditiis aperiam incidunt quisquam iste perferendis voluptatibus quam reiciendis numquam odio.,alvejante,,
Removedor Gel,72,Tenetur dignissimos tenetur quis ad laborum quos rerum ullam dicta.,desincrustante,,
Desengraxante Concentrado,72,,desincrustante,5142442766245,https://picsum.photos/seed/37708/400/400.jpg
Limpador Spray,63,Est rem nobis minus repudiandae molestias modi aspernatur ex tempore in quidem.,desengraxante,,https://picsum.photos/seed/74131/400/400.jpg
Amaciante Ultra,34,Explicabo alias dolorum quis eveniet illum dolorem inventore et.,limpeza_geral,0751862521058,https://picsum.photos/seed/90870/400/400.jpg
Limpa Vidros Cítrico,21,Rem voluptatibus dolorum commodi cupiditate vero sit quam.,,3603686167103,nao_e_uma_url
Desinfetante Max,81,,outro,5797871644307,https://picsum.photos/seed/91484/400/400.jpg
Limpa Vidros Gel,13,Voluptas nisi nulla ea labore rem ipsam numquam ullam nihil.,desincrustante,9227418633229,nao_e_uma_url
Desengraxante Spray,28,,aromatizante,1550598849653,https://picsum.photos/seed/99131/400/400.jpg
Desinfetante Ultra,54,,,0817413343583,https://picsum.photos/seed/78336/400/400.jpg
Alvejante Concentrado,44,,desinfetante,9052589011701,https://picsum.photos/seed/17068/400/400.jpg
Desinfetante Ultra,,Ad aliquid fugiat debitis dignissimos sequi commodi magni nihil consectetur nostrum.,desengraxante,,https://picsum.photos/seed/61484/400/400.jpg
Alvejante Concentrado,33,,alvejante,0209051647411,https://picsum.photos/seed/11899/400/400.jpg
,36,Praesentium quod ratione veniam accusantium tenetur velit officia consectetur.,alvejante,3330417976528,https://picsum.photos/seed/75778/400/400.jpg
Desengraxante Tradicional,68,Voluptate excepturi unde earum ut repellendus odit maiores veniam aliquid amet nesciunt officia.,limpeza_geral,,https://picsum.photos/seed/92768/400/400.jpg
Amaciante Ultra,90,Quasi illum incidunt iure dolore deleniti cumque facilis labore ipsa.,desengraxante,1829958391805,https://picsum.photos/seed/41194/400/400.jpg
Amaciante Frescor,15,,limpeza_geral,7875584869939,https://picsum.photos/seed/96492/400/400.jpg
Sabão Líquido Tradicional,57,,outro,9227418633229,https://picsum.photos/seed/88364/400/400.jpg
Água Sanitária Ultra,14,Optio magni exercitationem ea unde alias ducimus.,aromatizante,9185333461610,nao_e_uma_url
Desengraxante Frescor,,Sed occaecati cupiditate vitae asperiores consequatur sunt sint corporis aliquam inventore.,desengraxante,0652545247039,https://picsum.photos/seed/93520/400/400.jpg
Limpador Cítrico,76,Accusantium itaque a laboriosam incidunt vero sit ut dignissimos nesciunt perspiciatis quibusdam maiores.,desengraxante,4230773850762,https://picsum.photos/seed/16016/400/400.jpg
Multiuso Concentrado,64,Voluptatum illum occaecati in iste debitis molestiae laudantium ut molestiae architecto.,limpeza_geral,,https://picsum.photos/seed/42855/400/400.jpg
Desinfetante Profissional,80,,desinfetante,0343028610906,https://picsum.photos/seed/70849/400/400.jpg
,5,,desengraxante,7649174762890,https://picsum.photos/seed/72964/400/400.jpg
Multiuso Lavanda,39,Autem voluptatibus eaque impedit amet quia aliquam minima debitis nostrum.,desengraxante,6692806538210,https://picsum.photos/seed/89834/400/400.jpg
Multiuso Profissional,61,Odit unde numquam sapiente tenetur hic.,alvejante,1952247264679,
Multiuso Frescor,4,Possimus eaque pariatur sit rem est repudiandae.,limpeza_geral,1986867577970,https://picsum.photos/seed/46841/400/400.jpg
Desengraxante Spray,8,Nesciunt atque eaque possimus tempora nesciunt veritatis placeat molestiae reiciendis unde qui.,aromatizante,2156923923754,https://picsum.photos/seed/4900/400/400.jpg
Sabão Líquido Tradicional,55,Autem ad excepturi fuga quisquam ad consequuntur unde.,limpeza_geral,4462353543850,https://picsum.photos/seed/64011/400/400.jpg
Amaciante Profissional,87,,desinfetante,0932218434660,https://picsum.photos/seed/9873/400/400.jpg
Alvejante Concentrado,69,Consectetur eius incidunt eius tempore distinctio nihil ducimus.,outro,4856342804013,
Removedor Profissional,44,Sed deleniti sapiente quos voluptatibus delectus cumque deleniti architecto sequi quibusdam fuga eaque.,outro,5685997229839,https://picsum.photos/seed/41072/400/400.jpg
Água Sanitária Lavanda,52,Nulla earum libero velit molestiae enim quasi facilis laborum iste.,limpeza_geral,1561299517239,https://picsum.photos/seed/86614/400/400.jpg
Amaciante Tradicional,,,alvejante,9768468840767,nao_e_uma_url
Limpa Vidros Lavanda,8,Ea tenetur assumenda aperiam molestiae facilis doloremque a repellendus vitae qui totam cupiditate.,aromatizante,1960330668235,
Sabão Líquido Tradicional,983090,,desincrustante,7874039324047,https://picsum.photos/seed/3632/400/400.jpg
Água Sanitária Cítrico,40,Aliquam tempore quaerat eum veniam atque libero necessitatibus illo.,premium,4995114388228,
Detergente Lavanda,23,,limpeza_geral,7184136581855,
Desinfetante Cítrico,988037,,desinfetante,3258020523710,https://picsum.photos/seed/87061/400/400.jpg
Desinfetante Spray,68,Molestiae at expedita accusamus unde fugit similique error amet accusamus perferendis molestias beatae.,desincrustante,4454966198459,https://picsum.photos/seed/30925/400/400.jpg
Desinfetante Gel,marca-x,Voluptates quae mollitia quod minima odit dicta similique voluptas assumenda qui.,desengraxante,6655763713571,https://picsum.photos/seed/14807/400/400.jpg
Desengraxante Tradicional,55,,,6572686578813,https://picsum.photos/seed/79406/400/400.jpg
Detergente Spray,85,Quod molestiae quam molestias quia tempore.,aromatizante,2334139484560,https://picsum.photos/seed/30984/400/400.jpg
Sabão Líquido Tradicional,950917,Sit amet ex tempore suscipit dicta aspernatur harum minus.,,7302528370317,nao_e_uma_url
Limpador Cítrico,57,,limpeza_geral,3208430271589,https://picsum.photos/seed/43611/400/400.jpg
Alvejante Profissional,13,Atque repudiandae provident nisi temporibus distinctio culpa eveniet exercitationem harum sequi odit excepturi.,aromatizante,6329667835225,https://picsum.photos/seed/6829/400/400.jpg
Limpador Gel,24,Laboriosam unde unde minima assumenda quas at.,desincrustante,,https://picsum.photos/seed/85090/400/400.jpg
Limpa Vidros Lavanda,77,Impedit occaecati quos nulla magnam in perferendis in.,desincrustante,1658209504929,https://picsum.photos/seed/11063/400/400.jpg
Sabão Líquido Max,24,Nobis inventore quod consectetur ex eos veritatis.,,3246205841339,
Multiuso Concentrado,,Iure sequi natus culpa deleniti amet asperiores ipsa.,desincrustante,7670570694836,https://picsum.photos/seed/1851/400/400.jpg
Amaciante Lavanda,56,Ea minima omnis laboriosam repudiandae error molestiae dolore blanditiis asperiores possimus ratione.,desinfetante,7030394967620,https://picsum.photos/seed/50080/400/400.jpg
Alvejante Spray,27,Itaque odit sint dolores fugiat excepturi non dignissimos porro ab sunt sint ipsam.,desinfetante,9636835680271,https://picsum.photos/seed/76403/400/400.jpg
Amaciante Gel,59,,,9059795353908,https://picsum.photos/seed/78276/400/400.jpg
Detergente Frescor,13,,desincrustante,5806262532267,nao_e_uma_url
Água Sanitária Max,6,Perspiciatis ipsa facilis voluptates nobis qui iure aliquid laudantium quod deleniti.,,3414688852832,nao_e_uma_url
Água Sanitária Lavanda,23,,premium,0363589011493,https://picsum.photos/seed/41061/400/400.jpg
Alvejante Frescor,17,,desincrustante,8329627662319,https://picsum.photos/seed/21625/400/400.jpg
Multiuso Profissional,63,,outro,8952898148888,https://picsum.photos/seed/61637/400/400.jpg
Desinfetante Lavanda,91,Sed ducimus illo ipsum sit perferendis.,aromatizante,5382439677868,https://picsum.photos/seed/19406/400/400.jpg
Alvejante Gel,12,,outro,1389593987790,https://picsum.photos/seed/541/400/400.jpg
Desinfetante Spray,74,,desincrustante,2079261687921,
Amaciante Lavanda,20,Nulla molestias odit nostrum voluptate reprehenderit.,,,nao_e_uma_url
Removedor Gel,58,Reiciendis deleniti dolorum porro suscipit alias accusantium.,aromatizante,4837623090790,https://picsum.photos/seed/78944/400/400.jpg
Desengraxante Cítrico,52,Id enim odio eius voluptates ad harum nihil incidunt rem nesciunt quibusdam nostrum.,premium,6026535070404,
Sabão Líquido Tradicional,39,,desincrustante,6483466244982,https://picsum.photos/seed/50868/400/400.jpg
Desinfetante Cítrico,73,,desengraxante,,
Multiuso Lavanda,83,Vero laboriosam voluptatem temporibus ab incidunt illo exercitationem accusamus praesentium eaque corrupti.,limpeza_geral,5277707677827,nao_e_uma_url
,20,Ex a tempora animi cupiditate error cum.,desinfetante,1347531964357,https://picsum.photos/seed/5911/400/400.jpg
Desinfetante Lavanda,66,Esse repellendus hic accusamus consequuntur ad provident ipsum eum ab ipsam possimus rerum.,desincrustante,1916122011871,https://picsum.photos/seed/97061/400/400.jpg
Sabão Líquido Concentrado,23,Repudiandae harum culpa aspernatur doloribus dolores perferendis numquam.,concentrado_xl,1859323506169,https://picsum.photos/seed/34744/400/400.jpg
Desinfetante Max,24,Odit sunt cum nulla ex laboriosam tenetur numquam deserunt modi quas excepturi eum.,desengraxante,,https://picsum.photos/seed/62538/400/400.jpg
Removedor Lavanda,52,Totam rem cupiditate est quasi magni magnam distinctio corrupti.,alvejante,3126549661308,https://picsum.photos/seed/39670/400/400.jpg
Desinfetante Concentrado,18,Dignissimos fugiat culpa quisquam ducimus consectetur dolorem atque saepe deleniti ullam maiores.,limpeza_geral,1785303897975,https://picsum.photos/seed/82059/400/400.jpg
Alvejante Lavanda,970593,Totam voluptatibus illo minus voluptatibus veritatis eveniet aliquam nam.,limpeza_geral,1947202212840,
