id_usuario,nome,ambiente
b66bc1ed-4a61-4efc-85f7-c43da6771a4d,Impedit,Banheiro
9688d671-cced-47a1-b287-baa2dda11a73,Estante laboriosam,Cozinha
6d180617-a4ea-45a1-841e-f4a6aa15b23f,Agatha's stuff,Garagem
cf179ab5-a70f-4dc1-be4b-af487a6c774e,Carlos Eduardo's stuff,Despensa
2155e988-bedb-47f4-9857-05b68cd190dc,limpeza geral,Área de serviço
69b35eb3-5b8e-4052-b615-0363cc8b2995,,Despensa
b38d6ae7-4875-4f6a-82e3-e20efa6b2606,Quaerat similique fugiat,Área de serviço
cb6ccb6f-399a-4f9d-97a4-3e7de3eb260d,Gaveta similique,Sala
cae2e0db-5456-4293-8be2-3583c564a7e0,não mexer,Quarto
e8b8a18f-d09f-403e-9f56-3010b3d91096,Estante amet,Lavanderia
66ebeb12-7554-4827-b2c3-9420ff848a59,não mexer,Cozinha
94dab87f-e202-4e68-99b1-890f1450f085,Estante voluptas,Despensa
47a49d61-b33a-4da0-95e4-9b1711cebf3c,limpeza geral,Área de serviço
40eb701b-b5e0-4d02-8ea2-89dac724928a,não mexer,Cozinha
599eb778-bdd4-48fc-834d-c56a11405f14,não sei o nome disso,Quintal
55891a18-c85a-4f05-8589-10c0ec4d86aa,Enim eum,Lavanderia
bfa3109b-ad93-4227-9e0d-fabce70e1226,limpeza geral,Banheiro
d77c0813-3c2b-4dcc-ac4b-22a09402b851,caixa de tralha,Área de serviço
ca67111b-15f6-4919-9525-4c1e08263b56,Recusandae labore necessitatibus,Garagem
275c9774-9541-4dce-ba67-1deeae473ad1,,Quintal
1f59120e-d3e0-4170-a146-bd3dc12db9e8,top secret,Despensa
uuid-invalido-123,,Banheiro
c2d7b698-ed2c-4762-8225-a6e650a13c88,Ian's stuff,Banheiro
77c5a091-66ab-4b88-8539-4d89665341a9,kit sobrevivência,Área de serviço
dcf5865a-e94a-4892-8391-359dd8cddd6c,tung tung banheiro,Cozinha
6b3210f7-47dd-44e8-a2d4-68afda075165,,Lavanderia
559c3062-f917-4f16-812a-e2d25d094e57,limpeza geral,Quarto
dd3a7935-a00e-48b7-b5d7-5ad759a40dd4,aquele canto,Lavanderia
1f412bf4-3d1b-4062-b780-61136fb72beb,Prateleira aliquid,Cozinha
b86893f7-b723-4581-baf4-da5822478f47,top secret,Área de serviço
,,Lavanderia
6d180617-a4ea-45a1-841e-f4a6aa15b23f,Distinctio est odio,Lavanderia
e01a86e2-528d-4be0-919d-d2de79cda0dd,,Garagem
2ad49d68-4a6f-42d9-86fb-8ecdf7159e68,Gaveta molestiae,Área de serviço
6a4e5ea5-d956-4951-b2c1-9a1aa6466957,Neque,Quarto
d472df4c-cac0-4b66-910f-fb59e5c6b004,Ana Liz's stuff,Área de serviço
9d426136-a496-440a-8738-647f46307ac6,,Quintal
23fd55c3-10a4-41e0-aa39-11d234b8e56b,top secret,Despensa
uuid-invalido-123,aquele canto,Banheiro
b47127bf-57bf-4dc0-a59f-cc82b1e9f871,Voluptatibus delectus voluptatibus occaecati,Quintal
71060ee9-6725-4067-a7a1-fa5e4b4a0278,limpeza geral,Garagem
06ba5eee-dc64-4360-bd86-bc87da26fdfe,Delectus nemo,Área de serviço
ffeaddf5-412d-4a63-8296-b7d34be84f8c,Pietro's stuff,Despensa
158da537-b63a-48fa-badc-d6850d28cfcb,,Banheiro
ada5f56e-bb43-4b83-96f3-06e4f8e1ffd6,top secret,Banheiro
e83bf42b-e456-405e-8383-27e9fd19b2b4,limpeza geral,Garagem
597f8ea6-3bbe-4b24-b6df-5c3e446b8fe6,Leonardo's stuff,Sala
80de51dd-e07f-4494-9dd5-eaf7f5656d38,Prateleira sapiente,Quintal
d1290650-1de6-49ee-96a0-933709102c66,kit sobrevivência,Sala
d2fa9026-7e1e-4784-b2aa-b360e1769a1c,João Guilherme's stuff,Área de serviço
75a69d43-eedf-4f7d-a186-bd378b57d52e,top secret,Quintal
535a1649-dbfa-4617-94e1-2ef72bea0400,Nina's stuff,Área de serviço
6b7fc4e0-66b1-4581-8ff5-7109e0df37e0,,Cozinha
a0b51462-a94b-403f-94f9-0b5aa4cfe161,limpeza geral,Banheiro
9b06e453-60a5-416a-9fc4-5920640054d3,Yuri's stuff,Sala
47cd615a-aecf-4fb5-bd97-4c35df45d770,Gaveta autem,Cozinha
7a4978ed-1018-4049-bd12-e06da029aa11,Léo's stuff,Despensa
36e066e8-34bf-4a73-89bf-efeb6da015b2,Neque consequatur,Banheiro
f510509c-f18b-4b60-a36c-80f601f89192,Animi similique,Despensa
ab492e66-ea7a-473c-a121-d01609ecb625,top secret,Despensa
fcf5dedd-a014-4f8a-bbdd-a82605d872d3,Ravy's stuff,Quarto
d022a882-779a-487a-add3-f7a443b81bcd,Doloremque esse,Quintal
dcb7f324-84a9-4d68-acb6-0e4650fc9f3d,não sei o nome disso,Quintal
3c9e4a38-02a2-4709-bf05-a7e65e8daf7e,Theo's stuff,Garagem
07b14bff-9e69-4914-b87e-1844669b88a6,Eum,Lavanderia
53704398-c367-46d0-a40a-14ea4ef01767,Valentina's stuff,Despensa
c8b4120b-8873-4c59-b2af-37bf5b311256,Gaveta possimus,Sala
a128a4db-2aac-4fa0-80eb-2efc0c6122e7,Distinctio debitis,Garagem
6d180617-a4ea-45a1-841e-f4a6aa15b23f,Emilly's stuff,Despensa
71060ee9-6725-4067-a7a1-fa5e4b4a0278,Dolorem necessitatibus,Quintal
f33bd936-21c0-43a3-9456-778c9ccb5850,Ex harum,Sala
fe078fe2-da32-4184-869d-e0457bc28a89,Repudiandae ipsam,Despensa
43afea49-0a26-4523-8889-1df215756479,Clara's stuff,Cozinha
7e8376c8-e6aa-4cec-8013-54fd13a68dc0,Repellat id,Lavanderia
3d6a65e2-5f3c-4a7e-bdef-6741dd3153a9,Velit magnam,Quarto
023191ac-5d8d-4203-ae9d-0bced93a6f7f,Qui,Sala
674fd86c-ddc8-4575-a2ae-55b2474e7f74,,Despensa
6b66fc13-b0d2-48bf-9a7b-6c11f63425c9,,Banheiro
9bd9382e-9933-4e1b-95c8-77b43e5601bf,Armário beatae,Cozinha
96bdfa20-9e37-414b-adf2-45d31163c582,Isabella's stuff,Quarto
bcdb65b3-7377-42f3-91db-59035cf41619,não mexer,Quintal
uuid-invalido-123,Isis's stuff,Banheiro
uuid-invalido-123,misturas mortais,Banheiro
2155e988-bedb-47f4-9857-05b68cd190dc,Cauê's stuff,Área de serviço
f52ef38b-e7c6-4a59-bbc5-a8c9dbc919b3,Estante beatae,Quintal
86c683d7-6749-4bb1-bd5a-4f88692b24de,não mexer,Sala
3a1da4ee-745a-491c-9d6f-2ad6a4cb2b8c,kit sobrevivência,Sala
1104911c-0f58-457f-88ba-3a06601b7607,kit sobrevivência,Sala
cef9254a-4885-4bd2-9606-b01d8177b5ee,Prateleira ad,Quintal
7562459a-e828-405b-addd-8161d4fcbdd6,não mexer,Área de serviço
62174243-e0a5-4ee8-bd23-9a0e2384f2a2,aquele canto,Garagem
3e899deb-4bab-4ea1-b830-a871dc0d05fb,bagunça do fundo,Garagem
d6a7546a-7489-47da-bc2f-be6201f6deb1,Architecto,Despensa
a5ad01b9-6aa0-43e8-a4d9-4551c008436f,Eos aliquid,Área de serviço
e7218521-349b-4592-8d64-c327b9058e6f,Quod eveniet veniam,Cozinha
a2d0044d-f733-4d54-bdc5-ed09058b2d76,Ut reprehenderit dolores,Quintal
9c43337f-9023-4c12-b86c-b230704931c2,,Garagem
a8a7f444-b9b3-47c3-9f9e-ad812d714aa3,bagunça do fundo,Garagem
3a9440ba-3b5c-4dfc-a5b9-154edca4374d,não mexer,Área de serviço
346680c9-5354-4412-96a0-cf62dbb9deff,não mexer,Área de serviço
3b1040c3-fdca-4523-bf4d-0b8ef61794d5,aquele canto,Banheiro
da70c413-c3d6-4af9-941f-eb56a41964ef,Prateleira neque,Despensa
1ba1c8a3-e019-42dc-abfa-9b1b79969a08,Porro expedita,Lavanderia
180bde0f-fac9-477e-bfbf-0d4fdafa0c80,Dolor,Cozinha
72cac36d-1476-4405-9dbf-24ec25dfd98b,Cupiditate odit,Lavanderia
1d600535-a338-40a5-b4ee-f7990fd4e303,não mexer,Banheiro
6e17ae38-9499-4619-bc85-aac367c4f0c1,caixa de tralha,Lavanderia
,Rerum ullam tenetur,Banheiro
7bb78614-ee79-4781-8aef-cb1352a8a200,Rem blanditiis,Área de serviço
4b10bc09-7724-4d25-9ba6-d41b66dc70f0,Rem incidunt,Quintal
97e88c20-d043-43ff-b936-2b57430556c6,,Cozinha
7e64775d-2d6b-48d2-939f-2818daaaf6aa,Armário natus,Área de serviço
e3bc99dc-7aa2-466c-b897-d39d605f385f,Delectus,Despensa
22252a84-230d-4486-92d2-5b29b931a4df,bagunça do fundo,Quarto
ae81dc48-d28d-4040-b5a3-a643ac9303b8,não sei o nome disso,Quarto
1d169bd4-1022-4a10-9b89-8b0cf9270a1d,aquele canto,Despensa
9887a1d4-e511-4ba8-8599-2fe679101fa5,top secret,Lavanderia
2afb0aa4-a6d7-4082-80a5-747c1e0ae5bf,Animi voluptas libero,Quarto
uuid-invalido-123,Mollitia natus,Despensa
fc39d1e8-6cbc-4ce7-99d5-7b5db0de3b5d,top secret,Cozinha
3dc4ed8f-3c49-4b75-94d2-78e1584be934,não mexer,Área de serviço
uuid-invalido-123,Lucas's stuff,Quintal
bed3dfe9-b836-4cf2-ad9b-a42d5b4352cb,top secret,Quarto
27c167d3-f17c-4663-99b6-b51c862db1c3,Nulla corporis,Quarto
bd295d72-4477-4cbb-9e4e-c5cb78558e0c,Distinctio accusantium,Banheiro
d126968e-d6e5-4777-8f04-b8e45e64964e,Repellat labore,Sala
b82759c8-1ed9-452e-af58-1d072d663953,Consectetur sunt,Quintal
3e063b19-6ae6-429b-abf3-d7750f053697,top secret,Cozinha
bd3ed291-37a7-493d-aa30-1c806c3e6c19,Nulla soluta dolorum,Área de serviço
90d1e203-31f5-4bea-8a46-574e1a2c20e8,Luiz Fernando's stuff,Cozinha
ede44cc6-a361-4218-ab26-9eefb394df5f,Eum molestias dignissimos,Quarto
2bda2f42-f9b8-46a0-a00d-4250bb7351e9,limpeza geral,Área de serviço
1d169bd4-1022-4a10-9b89-8b0cf9270a1d,,Banheiro
60ff879a-45ac-415e-8408-fb679a90a25c,,Quarto
c054d414-5878-4e70-a131-2ecc1c0d50eb,,Lavanderia
9fbc192a-15d9-4c00-955c-c8fa926cd0c6,Quisquam molestiae,Quintal
8302bf98-95df-4f7b-b6cc-615006198b63,não mexer,Despensa
9d426136-a496-440a-8738-647f46307ac6,Cum voluptas dignissimos asperiores,Lavanderia
2ad49d68-4a6f-42d9-86fb-8ecdf7159e68,bagunça do fundo,Despensa
6e17ae38-9499-4619-bc85-aac367c4f0c1,Eum libero distinctio,Quarto
90a0cbbf-f016-46fc-b532-989cefe5ef36,Qui quod,Despensa
uuid-invalido-123,,Área de serviço
df48caf6-9edc-44fa-bec1-999f8a367827,Repellendus iste quod,Sala
8ad333f3-4b4d-41a8-abc0-38ba4c528cc0,Quasi repudiandae ratione,Quarto
0e816b30-7eae-4eb5-b9b6-655fff8bc56f,,Lavanderia
6752a9b2-a74c-46ec-8d55-d1aaf80bed65,Aut alias,Garagem
69b35eb3-5b8e-4052-b615-0363cc8b2995,Repudiandae pariatur molestias,Quarto
bb4d807f-4560-4fc4-8f71-9c101771468e,negócio ali,Lavanderia
def218bc-d5c0-4c9f-848d-bdf634ff7633,misturas mortais,Sala
uuid-invalido-123,Estante aut,Quarto
28965b4b-7007-4e64-9139-0bb2986edd4d,Nobis,Quintal
,tung tung banheiro,Banheiro
36746a5d-0a9b-4308-8715-986611fa8923,Aliquam maiores fuga,Cozinha
758acea2-9ae7-4968-8501-81a11ad21b79,Lorena's stuff,Despensa
97e88c20-d043-43ff-b936-2b57430556c6,não mexer,Banheiro
5d07cac1-bffa-4a26-abf6-8d83c0bf2cd6,kit sobrevivência,Lavanderia
6af58f59-d555-47ee-bf34-786393f089b3,aquele canto,Cozinha
a7e5a6ba-ad8a-4acd-9d63-f54bf334491d,Enim ipsum,Garagem
0a542be4-a919-4da3-8942-9514df3de8c7,Laudantium asperiores autem facilis,Quarto
a82e9816-db10-4949-b917-0e421a9782dc,top secret,Banheiro
9eb595d2-294d-43ee-8be6-b2709b9be288,,Quintal
1f59120e-d3e0-4170-a146-bd3dc12db9e8,Gaveta modi,Quintal
7bb78614-ee79-4781-8aef-cb1352a8a200,top secret,Quintal
